Well Address,Sample Amount,Additive
A1,500,Water
A2,500,Water
A3,0,Water
A4,0,Water
A5,500,Water
A6,0,Water
A7,500,Water
A8,0,Water
A9,0,Water
A10,0,Water
A11,500,Water
A12,500,Water
A13,500,Water
A14,500,Water
A15,500,Water
A16,500,Water
A17,0,Water
A18,500,Water
A19,0,Water
A20,500,Water
A21,500,Water
A22,500,Water
A23,500,Water
A24,500,Water
B1,500,Water
B2,500,Water
B3,0,Water
B4,0,Water
B5,0,Water
B6,0,Water
B7,0,Water
B8,0,Water
B9,0,Water
B10,500,Water
B11,0,Water
B12,500,Water
B13,500,Water
B14,500,Water
B15,500,Water
B16,500,Water
B17,500,Water
B18,500,Water
B19,500,Water
B20,500,Water
B21,500,Water
B22,500,Water
B23,500,Water
B24,500,Water
C1,500,Water
C2,500,Water
C3,0,Water
C4,0,Water
C5,500,Water
C6,0,Water
C7,500,Water
C8,0,Water
C9,0,Water
C10,500,Water
C11,500,Water
C12,500,Water
C13,500,Water
C14,500,Water
C15,500,Water
C16,500,Water
C17,0,Water
C18,500,Water
C19,0,Water
C20,500,Water
C21,500,Water
C22,500,Water
C23,500,Water
C24,500,Water
D1,500,Water
D2,500,Water
D3,0,Water
D4,0,Water
D5,0,Water
D6,0,Water
D7,0,Water
D8,0,Water
D9,0,Water
D10,500,Water
D11,0,Water
D12,500,Water
D13,500,Water
D14,500,Water
D15,500,Water
D16,500,Water
D17,500,Water
D18,500,Water
D19,500,Water
D20,500,Water
D21,500,Water
D22,500,Water
D23,500,Water
D24,500,Water
E1,500,Water
E2,500,Water
E3,0,Water
E4,0,Water
E5,500,Water
E6,0,Water
E7,500,Water
E8,0,Water
E9,8000,Water
E10,0,Water
E11,500,Water
E12,500,Water
E13,500,Water
E14,500,Water
E15,500,Water
E16,500,Water
E17,0,Water
E18,500,Water
E19,500,Water
E20,500,Water
E21,500,Water
E22,500,Water
E23,500,Water
E24,500,Water
F1,500,Water
F2,500,Water
F3,0,Water
F4,0,Water
F5,0,Water
F6,0,Water
F7,0,Water
F8,0,Water
F9,0,Water
F10,500,Water
F11,0,Water
F12,500,Water
F13,500,Water
F14,500,Water
F15,500,Water
F16,500,Water
F17,500,Water
F18,500,Water
F19,500,Water
F20,500,Water
F21,500,Water
F22,500,Water
F23,500,Water
F24,500,Water
G1,500,Water
G2,500,Water
G3,0,Water
G4,0,Water
G5,500,Water
G6,0,Water
G7,500,Water
G8,0,Water
G9,0,Water
G10,0,Water
G11,500,Water
G12,500,Water
G13,500,Water
G14,500,Water
G15,500,Water
G16,500,Water
G17,0,Water
G18,500,Water
G19,500,Water
G20,500,Water
G21,500,Water
G22,500,Water
G23,500,Water
G24,500,Water
H1,500,Water
H2,500,Water
H3,0,Water
H4,0,Water
H5,0,Water
H6,0,Water
H7,0,Water
H8,0,Water
H9,0,Water
H10,500,Water
H11,0,Water
H12,500,Water
H13,500,Water
H14,500,Water
H15,500,Water
H16,500,Water
H17,500,Water
H18,500,Water
H19,500,Water
H20,500,Water
H21,500,Water
H22,500,Water
H23,500,Water
H24,500,Water
I1,500,Water
I2,500,Water
I3,500,Water
I4,0,Water
I5,500,Water
I6,0,Water
I7,500,Water
I8,0,Water
I9,0,Water
I10,0,Water
I11,500,Water
I12,500,Water
I13,500,Water
I14,500,Water
I15,500,Water
I16,500,Water
I17,0,Water
I18,500,Water
I19,500,Water
I20,500,Water
I21,500,Water
I22,500,Water
I23,500,Water
I24,500,Water
J1,500,Water
J2,500,Water
J3,0,Water
J4,0,Water
J5,0,Water
J6,0,Water
J7,0,Water
J8,0,Water
J9,0,Water
J10,500,Water
J11,0,Water
J12,500,Water
J13,500,Water
J14,500,Water
J15,500,Water
J16,500,Water
J17,500,Water
J18,500,Water
J19,500,Water
J20,500,Water
J21,500,Water
J22,500,Water
J23,500,Water
J24,500,Water
K1,500,Water
K2,500,Water
K3,500,Water
K4,0,Water
K5,500,Water
K6,0,Water
K7,500,Water
K8,0,Water
K9,8000,Water
K10,500,Water
K11,500,Water
K12,500,Water
K13,500,Water
K14,500,Water
K15,500,Water
K16,500,Water
K17,0,Water
K18,500,Water
K19,500,Water
K20,0,Water
K21,500,Water
K22,500,Water
K23,500,Water
K24,500,Water
L1,500,Water
L2,500,Water
L3,0,Water
L4,0,Water
L5,0,Water
L6,0,Water
L7,500,Water
L8,500,Water
L9,0,Water
L10,500,Water
L11,500,Water
L12,500,Water
L13,500,Water
L14,500,Water
L15,500,Water
L16,500,Water
L17,500,Water
L18,500,Water
L19,500,Water
L20,500,Water
L21,500,Water
L22,500,Water
L23,500,Water
L24,500,Water
M1,500,Water
M2,500,Water
M3,500,Water
M4,0,Water
M5,500,Water
M6,0,Water
M7,500,Water
M8,0,Water
M9,8000,Water
M10,0,Water
M11,500,Water
M12,500,Water
M13,500,Water
M14,500,Water
M15,500,Water
M16,500,Water
M17,0,Water
M18,500,Water
M19,500,Water
M20,0,Water
M21,500,Water
M22,500,Water
M23,500,Water
M24,500,Water
N1,500,Water
N2,500,Water
N3,0,Water
N4,0,Water
N5,0,Water
N6,500,Water
N7,500,Water
N8,500,Water
N9,0,Water
N10,500,Water
N11,500,Water
N12,500,Water
N13,500,Water
N14,500,Water
N15,500,Water
N16,500,Water
N17,500,Water
N18,500,Water
N19,500,Water
N20,500,Water
N21,500,Water
N22,500,Water
N23,500,Water
N24,500,Water
O1,500,Water
O2,500,Water
O3,500,Water
O4,0,Water
O5,500,Water
O6,0,Water
O7,500,Water
O8,0,Water
O9,500,Water
O10,0,Water
O11,500,Water
O12,500,Water
O13,500,Water
O14,500,Water
O15,500,Water
O16,500,Water
O17,0,Water
O18,500,Water
O19,500,Water
O20,0,Water
O21,500,Water
O22,500,Water
O23,500,Water
O24,500,Water
P1,500,Water
P2,500,Water
P3,0,Water
P4,0,Water
P5,0,Water
P6,500,Water
P7,500,Water
P8,500,Water
P9,0,Water
P10,500,Water
P11,500,Water
P12,500,Water
P13,500,Water
P14,500,Water
P15,500,Water
P16,500,Water
P17,500,Water
P18,500,Water
P19,500,Water
P20,500,Water
P21,500,Water
P22,500,Water
P23,500,Water
P24,500,Water
